CMPLNT_NUM,Latitude,Longitude
807539955,40.76477447,-73.98615725
908438691,40.79605784,-73.96705231
713483285,40.8203697,-73.93813285
178447094,40.85649236,-73.93726058
911003056,40.77801698,-73.98021132
872986408,40.8399082,-73.93608359
823238722,40.81573205,-73.94542041
856491353,40.70670678,-74.0109337
429976719,40.8087499,-73.95258581
415011862,40.72420015,-73.97722564
824246033,40.73166766,-73.98941509
194735658,40.8648942,-73.92407815
707109349,40.82980246,-73.94180622
851536595,40.74351161,-73.99422735
958836431,40.73984386,-73.98552371
593729757,40.80959684,-73.9497856
836043121,40.85402741,-73.92752823
881300600,40.73075688,-74.00076998
726809803,40.77416368,-73.9529101
254166325,40.80191117,-73.95539357
980378611,40.76022007,-73.98019856
663639563,40.81485029,-73.95668185
539064060,40.81573205,-73.94542041
407166170,40.80404601,-73.9366201
676532146,40.71414237,-73.98933851
792217800,40.86126675,-73.92566936
540300431,40.74396801,-73.97791178
267580625,40.86641857,-73.92155642
629044935,40.86641857,-73.92155642
856704542,40.83755952,-73.93751695
847129382,40.7677942,-73.99138769
607729109,40.82673226,-73.95010148
623636864,40.73290879,-73.97490979
150415238,40.70956442,-74.00643628
457966361,40.7569782,-73.97834061
161017099,40.74968132,-73.98795774
280715700,40.75999133,-73.96480325
915787960,40.84770738,-73.93877971
796526733,40.80069433,-73.94110929
776027254,40.71634415,-74.00125319
269874705,40.8399082,-73.93608359
435613200,40.76865264,-73.95391401
797151145,40.77641236,-73.94825085
594527773,40.85148777,-73.93545797
696828058,40.78145113,-73.98329398
206843252,40.73669807,-73.98331603
462985519,40.78978847,-73.94451718
877138773,40.77086186,-73.98283813
757511095,40.71634415,-74.00125319
587371224,40.7685239,-73.98713844
662400916,40.77523041,-73.97668467
724929407,40.77877371,-73.97595045
246441119,40.79634124,-73.94119982
322950330,40.7673241,-73.98429752
150186162,40.76386581,-73.98496256
673889637,40.74242932,-73.98480861
306823376,40.81263202,-73.9630161
160878475,40.72655402,-73.98782843
591833245,40.81660177,-73.94467185
128210795,40.85192304,-73.93344778
317566557,40.71937986,-74.00023233
173654674,40.72655402,-73.98782843
480113710,40.75089781,-73.99626231
733669574,40.73167343,-73.99310985
171925789,40.82138014,-73.95710394
250747475,40.81485029,-73.95668185
109633287,40.73037262,-73.99911025
483180771,40.73669807,-73.98331603
339746643,40.82305588,-73.94739439
245982587,40.80065613,-73.9702574
799813266,40.83969238,-73.94326486
141390313,40.7685239,-73.98713844
306310358,40.71009385,-74.01060963
760181746,40.79605784,-73.96705231
262774125,40.85148777,-73.93545797
354117389,40.81485029,-73.95668185
500248369,40.77407735,-73.96481386
922995246,40.75758879,-73.98659189
562847153,40.80069433,-73.94110929
351087047,40.73084458,-74.00565898
941652471,40.81485029,-73.95668185
537199647,40.76387372,-73.96042599
771605434,40.78926022,-73.94771
226593635,40.75877504,-73.99238512
175157446,40.76296359,-73.99351453
158213971,40.779163,-73.95583487
318976953,40.71634415,-74.00125319
862185268,40.81729021,-73.95631537
936811784,40.779163,-73.95583487
791020551,40.75197886,-73.98991355
818178323,40.78004577,-73.9829152
829212836,40.77513534,-73.98229184
271275883,40.80322164,-73.96727271
887139804,40.75506923,-73.98767162
430890653,40.78004577,-73.9829152
530614803,40.80391599,-73.96702313
590297235,40.78004577,-73.9829152
943289293,40.779163,-73.95583487
365753029,40.779163,-73.95583487
551280990,40.7634657,-73.99082872
334521096,40.77406025,-73.96279923
394179974,40.75692838,-73.97627598
906964305,40.73084458,-74.00565898
662026726,40.8174178,-73.95273137
295220707,40.74376639,-73.98797325
726087613,40.7569782,-73.97834061
323838247,40.8495049,-73.9287585
583959548,40.77611464,-73.94545288
202864689,40.73798902,-73.97354025
980268220,40.8547611,-73.93351
138922506,40.76717676,-73.96380668
980866933,40.81295064,-73.95588109
213107409,40.79460426,-73.94781415
876721468,40.70866695,-74.0050331
198407287,40.76481827,-73.98518977
434726643,40.77670453,-73.95105967
392433753,40.78347806,-73.96475834
759384254,40.86572268,-73.92344089
473395811,40.82640186,-73.93679393
501279711,40.79481676,-73.94440825
236960258,40.73948342,-73.97973561
733645152,40.78612331,-73.94261356
562074073,40.7442158,-73.98233615
759996985,40.79451509,-73.96632353
360215727,40.76127156,-73.96888884
470111000,40.76307077,-73.99668759
491159932,40.79605784,-73.96705231
641463662,40.70782075,-74.01454076
358351963,40.78122495,-73.95757033
854738311,40.75823237,-73.97743058
588484479,40.85094819,-73.92807017
535882578,40.75626621,-73.99050125
500794339,40.8087499,-73.95258581
376484277,40.8209643,-73.94147794
849455869,40.81573205,-73.94542041
220387491,40.80849727,-73.93539851
265434362,40.70697881,-74.00712133
800913042,40.75063599,-73.9701101
112249779,40.73422613,-74.00540669
644019123,40.76734873,-73.96089685
488691427,40.74943967,-73.98692557
270997227,40.76717676,-73.96380668
396844570,40.72655402,-73.98782843
482439118,40.78119824,-73.9596177
107620142,40.84977622,-73.93752716
767287359,40.71634415,-74.00125319
989656396,40.7131437,-74.00405951
968862224,40.75393894,-73.99484365
627545541,40.75734632,-73.98018137
504780261,40.7878746,-73.92818165
676462867,40.75784398,-73.9617976
956081621,40.73883425,-73.98986141
797385072,40.80069433,-73.94110929
545836263,40.86785783,-73.9190853
928266246,40.7934646,-73.96894964
151157641,40.72757016,-73.99612651
560858081,40.81116985,-73.95044911
842539558,40.7435983,-73.9827838
539810329,40.75814405,-73.96459848
951151453,40.77391474,-73.98878015
839837099,40.8168006,-73.94724038
107985447,40.8087499,-73.95258581
469272106,40.8087499,-73.95258581
776640196,40.80404601,-73.9366201
171382406,40.7445855,-73.97748573
129064566,40.81489035,-73.9612627
655869769,40.74978011,-73.98778087
623814286,40.7930754,-73.97108782
617336130,40.8212561,-73.95571661
113168813,40.74829799,-73.98817814
738938362,40.71651456,-73.97589355
655002939,40.78926022,-73.94771
554898695,40.7569782,-73.97834061
368338580,40.79178307,-73.97289049
478269317,40.85575848,-73.93063878
736942748,40.75041111,-73.98523629
928212188,40.71634415,-74.00125319
598248457,40.76140476,-73.99967657
675446921,40.86194837,-73.92713639
191995705,40.71634415,-74.00125319
244995083,40.75346408,-73.99439974
340703673,40.86300322,-73.92425384
605503501,40.76717676,-73.96380668
357776609,40.74693428,-73.99358827
617616802,40.79029534,-73.94268219
975869468,40.73422613,-74.00540669
492288529,40.75635248,-73.97879561
654645618,40.76481827,-73.98518977
342851500,40.73683322,-73.98875031
870003814,40.72182202,-73.98747935
511689414,40.74859275,-73.97709099
254850113,40.75734632,-73.98018137
237085551,40.81113019,-73.93671451
311229102,40.78073918,-73.94473054
728840501,40.83294176,-73.93543259
359573664,40.75065782,-73.98295161
571433025,40.78872124,-73.93999677
794975920,40.80233685,-73.94935763
307927570,40.80065444,-73.95631545
758504977,40.80404601,-73.9366201
958556764,40.83345098,-73.94340751
388970644,40.71133484,-74.00547336
913879880,40.80778062,-73.94548473
723730997,40.79708858,-73.94274858
620172690,40.80069433,-73.94110929
140477901,40.72655402,-73.98782843
932372770,40.76133598,-73.97411215
278114175,40.75734632,-73.98018137
744548390,40.80404601,-73.9366201
109354995,40.7569782,-73.97834061
596043513,40.76315103,-73.96647296
349346579,40.8035559,-73.96523173
425544821,40.79216659,-73.96989644
945860965,40.75393894,-73.99484365
530406527,40.79848316,-73.94914747
589667703,40.80778062,-73.94548473
775120794,40.85148777,-73.93545797
348688519,40.75734632,-73.98018137
973506302,40.73422613,-74.00540669
584037993,40.73856022,-73.9996839
796509162,40.868152,-73.92383219
208014115,40.76227288,-73.95856788
519767678,40.71718831,-73.98310446
434208277,40.79253107,-73.96777273
963608803,40.79657114,-73.96718569
809715786,40.74616195,-73.98312599
843297449,40.83733854,-73.9400505
